sector,ticker_a,ticker_b,beta,n_rows,n_events,label_mean,best_threshold,val_auc,test_accuracy,test_balanced_accuracy,test_f1,test_auc,trade_count,trade_win_rate,avg_pnl_proxy,total_pnl_proxy,max_drawdown_proxy,validation_start_date,test_start_date
Energy,XOM,CVX,1.2943485612767474,1572,807,0.3444857597351074,0.52,0.6028581510232887,0.32098765432098764,0.4331140350877193,0.38202247191011235,0.4142909356725146,38,0.47368421052631576,0.0004878873825073238,0.018539720535278303,0.14163720989227296,2023-12-20,2025-03-14
Industrials,ITW,LMT,0.5183736549611524,1572,809,0.3448702096939087,0.47000000000000003,0.5570175438596491,0.4567901234567901,0.42708333333333337,0.2786885245901639,0.41538742690058483,125,0.592,8.649063110351518e-05,0.010811328887939398,0.5657964992523193,2023-12-28,2025-03-05
Real_Estate,EQIX,EQR,0.14009645524560344,1572,817,0.3574051260948181,0.55,0.5214067278287461,0.3231707317073171,0.5034704147145583,0.47393364928909953,0.5162241887905604,68,0.5294117647058824,4.3594360351562056e-05,0.00296441650390622,0.5250040588378906,2023-11-30,2025-03-07
Utilities,DUK,EXC,0.4638111234042854,1572,780,0.39615383744239807,0.49000000000000005,0.46173063820122645,0.5384615384615384,0.5204938271604937,0.1,0.4986008230452675,27,0.4444444444444444,1.0498329445167396e-05,0.0002834548950195197,0.06604280090332032,2023-11-28,2024-12-26
Utilities,SO,EXC,0.6018346088895932,1572,801,0.3333333432674408,0.5,0.53813882532418,0.5527950310559007,0.4778052805280528,0.23404255319148937,0.486963696369637,34,0.5294117647058824,-7.75994132546822e-05,-0.002638380050659195,0.07872988319396973,2023-12-01,2025-01-28
Financials,JPM,V,1.6274712715717894,1572,780,0.37435898184776306,0.45,0.5283224400871459,0.34615384615384615,0.3912283767254936,0.4,0.3559322033898305,154,0.4935064935064935,-2.2055898393903905e-05,-0.003396608352661201,0.6429415302276611,2023-09-28,2025-02-13
Communications,NFLX,TMUS,-0.38223735671338355,1572,851,0.3525264263153076,0.52,0.47577969475779697,0.4269005847953216,0.5148514851485149,0.5882352941176471,0.5405940594059406,145,0.5241379310344828,-2.5938362910829803e-05,-0.0037610626220703214,0.9303301544189426,2024-02-15,2025-02-13
Financials,V,MA,0.8355798980854007,1572,740,0.4121621549129486,0.54,0.5091693635382957,0.4864864864864865,0.4931506849315068,0.6545454545454545,0.5165296803652968,94,0.4787234042553192,-5.6443792708377064e-05,-0.005305716514587444,0.22429844808578492,2023-12-22,2025-02-04
Industrials,ITW,FDX,0.41002181131676213,1572,771,0.4163424074649811,0.53,0.3762755102040816,0.4258064516129032,0.44999999999999996,0.46706586826347307,0.45811965811965816,33,0.48484848484848486,-0.0002943531383167618,-0.00971365356445314,0.17856478118896485,2023-11-28,2025-02-25
Consumer_Staples,PG,CL,1.2905059465860313,1572,822,0.34428223967552185,0.52,0.5153769841269842,0.4484848484848485,0.4671717171717171,0.4484848484848485,0.5114784205693297,40,0.55,-0.00035068142414093064,-0.014027256965637225,0.1777974624633789,2023-11-30,2025-02-04
Energy,SLB,FANG,0.7019342919985383,1572,804,0.3731343150138855,0.46,0.532069970845481,0.40993788819875776,0.482340140609307,0.47513812154696133,0.49614998326079685,150,0.4666666666666667,-0.00011977717621872867,-0.0179665764328093,0.8973774667512626,2024-01-12,2025-03-06
Utilities,NEE,CNP,0.4137987200649645,1572,815,0.38650307059288025,0.5,0.44409212283044064,0.5766871165644172,0.5301616915422885,0.34285714285714286,0.4723258706467661,38,0.47368421052631576,-0.0004930544903403839,-0.018736070632934587,0.2543149452209473,2023-10-26,2025-01-22
Financials,GS,AXP,1.081340107654996,1572,799,0.3692115247249603,0.48000000000000004,0.5384114583333333,0.575,0.5409916543937162,0.41379310344827586,0.5593192603501881,130,0.5076923076923077,-0.00016629663339028035,-0.021618562340736447,0.5558717393875122,2023-12-04,2025-01-30
Real_Estate,AVB,EQR,0.9959496889939324,1572,746,0.46380695700645447,0.45,0.5599264705882352,0.37333333333333335,0.3968108504398827,0.4125,0.3724340175953079,136,0.4338235294117647,-0.00016089164509492805,-0.021881263732910217,0.282565601348877,2023-10-31,2025-02-18
Real_Estate,PLD,SPG,0.47220581046727383,1572,815,0.3558282256126404,0.51,0.5662719633307869,0.4171779141104294,0.5112504018000643,0.5320197044334976,0.462230793956927,94,0.5212765957446809,-0.0002382316183536615,-0.022393772125244182,0.4328210906982422,2023-11-22,2025-01-14
Tech,MSFT,NVDA,0.396871532670238,1572,764,0.44895288348197937,0.46,0.44662698412698415,0.41830065359477125,0.4155844155844156,0.0,0.26589200273410796,102,0.5882352941176471,-0.0002582529105392161,-0.026341796875000045,0.6604998092651367,2023-12-14,2025-01-03
Tech,ORCL,PYPL,-0.16145544008912321,1572,833,0.3289315700531006,0.48000000000000004,0.6153543307086614,0.5269461077844312,0.5424528301886793,0.4397163120567376,0.5604104601125455,127,0.44881889763779526,-0.00026539236354076827,-0.03370483016967757,1.959873119354246,2023-12-13,2025-03-13
Communications,DIS,CMCSA,1.2177300489230103,1572,815,0.3288343548774719,0.52,0.46025910364145656,0.3987730061349693,0.5595874713521772,0.449438202247191,0.5624522536287242,94,0.425531914893617,-0.00040649806692245205,-0.03821081829071049,0.7627695617675778,2023-12-19,2025-03-18
Energy,CVX,LNG,0.65399338936072,1572,794,0.4118387997150421,0.45,0.5568438003220613,0.5345911949685535,0.6016366612111292,0.63,0.6549918166939444,159,0.4591194968553459,-0.00024402166762441758,-0.0387994451522824,0.7088280344009381,2023-11-10,2025-02-03
Healthcare,ABBV,HCA,0.6849328764785785,1572,811,0.37854501605033875,0.49000000000000005,0.5446088150068629,0.5460122699386503,0.5182204676586699,0.3018867924528302,0.5232310962648041,55,0.43636363636363634,-0.0007648418599909007,-0.042066302299499536,0.394055645942688,2023-09-15,2025-01-16
Utilities,NEE,AEP,0.7766640123994792,1572,779,0.3543003797531128,0.56,0.5173611111111112,0.391025641025641,0.4519704433497537,0.45714285714285713,0.4734342012667136,37,0.40540540540540543,-0.0012355728664913696,-0.04571619606018068,0.26506948375701905,2023-12-06,2025-01-17
Financials,BAC,GS,0.6979436899965908,1572,750,0.41333332657814026,0.5,0.5108793382485165,0.5066666666666667,0.515491452991453,0.38333333333333336,0.5092592592592593,42,0.6428571428571429,-0.0010919621104285835,-0.04586240863800051,0.15547987413406372,2023-10-04,2025-01-07
Consumer_Staples,PG,KMB,0.8611984888288486,1572,800,0.39125001430511475,0.5,0.506423258958756,0.50625,0.4715909090909091,0.18556701030927836,0.5779671717171717,25,0.48,-0.0021495156288146976,-0.05373789072036744,0.08829779148101807,2023-11-24,2025-01-14
Healthcare,LLY,HCA,1.0670998889726366,1572,814,0.3685503602027893,0.49000000000000005,0.5883084577114428,0.6319018404907976,0.49801390268123136,0.09090909090909091,0.651439920556107,67,0.44776119402985076,-0.0008931948275708445,-0.05984405344724658,0.8836297773122785,2023-11-21,2025-02-11
Consumer_Staples,KMB,MKC,0.26605716005378793,1572,799,0.3692115247249603,0.45,0.6997863247863247,0.5,0.487481590574374,0.40298507462686567,0.4828996890852561,114,0.49122807017543857,-0.0005347672847279335,-0.060963470458984426,0.4617046356201172,2023-11-30,2025-02-20
Energy,CVX,COP,0.679211690826514,1572,878,0.3371298313140869,0.48000000000000004,0.5129009265858874,0.6022727272727273,0.6598754951895869,0.6022727272727273,0.655631013016412,144,0.5138888888888888,-0.00042711097002029463,-0.06150397968292243,0.2610001726150513,2023-12-20,2025-02-24
Financials,GS,MA,1.7951461134577804,1572,786,0.3982188403606415,0.45,0.49906542056074765,0.5569620253164557,0.5487550200803213,0.453125,0.5222489959839358,141,0.5177304964539007,-0.00047223860828589083,-0.06658564376831061,0.7968834419250487,2023-11-24,2024-12-23
Industrials,HON,ITW,0.879195126031904,1572,800,0.39750000834465027,0.5,0.42957366432811656,0.64375,0.6567024357009027,0.583941605839416,0.6666666666666666,80,0.475,-0.0008658629953861241,-0.06926903963088993,0.4110602791309357,2024-01-23,2025-03-12
