,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
GS,-0.13868273800487022,-0.13868273800487013,-0.059434453498187684,-0.05943445349818849,-0.14179617365882433,0.14179617365882718,-0.1887895554394047,-0.1887895554393941,0.05148201216522665,-0.0514820121652481,-0.46637142995608233,0.4663714299560828,-0.033111360707813876,0.03311136070781231,-0.356399973169704,-0.3563999731697096,-0.2705083544399682,0.27050835443995075,0.006497049221438933,0.006497049221471211
JPM,-0.18337581501843994,-0.18337581501843989,0.004060517040074921,0.004060517040074985,0.10162324819518735,-0.10162324819518512,-0.3559885626575499,-0.35598856265754286,0.2807414606197224,-0.2807414606197194,-0.33450074270962893,0.33450074270962926,0.261780588330452,-0.2617805883304511,-0.0324917907464637,-0.03249179074646031,0.1578725241484069,-0.15787252414840464,-0.20996818805056908,-0.20996818805056378
MS,-0.2084522571741531,-0.20845225717415297,-0.02097000694702724,-0.02097000694702896,-0.15155513962331407,0.15155513962331815,-0.35800122359853187,-0.35800122359853115,0.1581874788039477,-0.15818747880394185,-0.3695382071741556,0.36953820717415603,0.29897898701580233,-0.2989789870158016,-0.08987055675613487,-0.08987055675613308,-0.023579173274365692,0.02357917327436667,-0.21300512850765438,-0.213005128507647
BAC,-0.06054334356483894,-0.06054334356483872,0.09948228094924333,0.09948228094924107,-0.22911223457293645,0.22911223457293853,-0.15034966929909155,-0.15034966929907906,0.2191171446461274,-0.21911714464613627,-0.4532673988629515,0.45326739886295203,0.22178985119968836,-0.2217898511996872,-0.04404185282988023,-0.0440418528298793,-0.09369837812927123,0.0936983781292673,-0.31299660274194085,-0.31299660274192953
V,-0.2273229139817071,-0.2273229139817072,-0.3264588320764706,-0.3264588320764711,-0.1705719990559076,0.1705719990559148,0.18330226610586514,0.18330226610587222,-0.005602887318252679,0.005602887318236435,0.13760789070684953,-0.13760789070684906,0.3652926738715561,-0.3652926738715537,0.1853626820187402,0.1853626820187409,0.1554228148524685,-0.155422814852471,0.2610225264981764,0.2610225264981736
BLK,-0.48881850199165905,-0.4888185019916591,-0.2053312184320836,-0.20533121843208763,-0.045231354525022666,0.04523135452502399,0.18158970324035656,0.18158970324036583,0.08612611878796024,-0.0861261187879671,-0.15331621723586086,0.1533162172358605,-0.27136489532509167,0.27136489532509517,-0.00254637565911061,-0.002546375659111011,-0.15215512754617613,0.15215512754617241,0.23696987784390713,0.23696987784389767
BRK-A,-0.21839807867897468,-0.2183980786789749,-0.37100301403744856,-0.37100301403745095,-0.21526593501077787,0.21526593501078622,-0.03271230395149819,-0.032712303951496,-0.048643291166147073,0.048643291166143326,-0.14822658086982474,0.14822658086982465,0.3175591174871542,-0.3175591174871537,-0.12688262867256628,-0.12688262867256211,0.34054000623295044,-0.3405400062329432,-0.10000872833672596,-0.10000872833673996
MA,-0.2794637478985047,-0.27946374789850476,-0.28848781641471904,-0.2884878164147196,-0.0010566911728899383,0.0010566911728914505,0.15405799105743004,0.15405799105742451,-0.17796213730623317,0.17796213730624724,-0.16227678156953879,0.16227678156954,0.18777482176776517,-0.18777482176776497,0.2926086705108007,0.2926086705107996,0.1371065269584789,-0.13710652695848607,0.34242972790354204,0.3424297279035567
C,-0.06851816347062607,-0.06851816347062589,-0.02139862196622784,-0.0213986219662278,-0.17409739946639774,0.17409739946640154,-0.3094393983355151,-0.3094393983355172,0.09722029086675231,-0.09722029086674655,-0.519131047850864,0.5191310478508646,0.07806750999732752,-0.07806750999732738,-0.09840813931286486,-0.09840813931286553,-0.13572969054102685,0.13572969054102207,-0.23586995954516443,-0.235869959545144
HON,-0.2021167272576186,-0.20211672725761823,0.23377015401069054,0.23377015401068849,-0.058333710631646336,0.05833371063164825,0.10467009738041672,0.10467009738041264,0.18471910257387658,-0.18471910257387006,-0.4813431822259772,0.48134318222597783,0.2695835560418266,-0.26958355604182604,-0.1912254597912327,-0.19122545979123196,-0.11194846498440736,0.11194846498441514,0.05054065364425701,0.05054065364422799
CAT,0.03071354336791563,0.030713543367915836,0.1311955736769981,0.1311955736770014,0.16992372174828108,-0.1699237217482866,0.3935741525362258,0.39357415253623096,0.13500137508606655,-0.13500137508606166,-0.44839354798115605,0.4483935479811566,0.22779966707213437,-0.22779966707213226,0.0963489720018701,0.09634897200187426,0.11445792014718155,-0.11445792014717308,-0.0671650324892485,-0.06716503248927894
UNP,-0.11290600807672789,-0.11290600807672815,-0.004962095715851773,-0.004962095715851251,0.2477139724513814,-0.2477139724513792,-0.3423018331869237,-0.34230183318690993,0.06361183757946612,-0.06361183757949153,-0.28256861536427896,0.28256861536427885,-0.2562328689307627,0.25623286893075825,-0.3157579987980652,-0.3157579987980657,0.2109458997770532,-0.21094589977705586,0.12225708964389312,0.12225708964389442
GE,-0.20895677006241786,-0.20895677006241814,-0.03750928685842561,-0.037509286858423724,0.3291885170013125,-0.32918851700131146,-0.20772103916618126,-0.20772103916617923,-0.12473572136378933,0.12473572136377102,-0.13177848618371293,0.13177848618371393,0.37032976534557316,-0.37032976534557466,0.0958837444111969,0.09588374441119682,0.16159750952389443,-0.16159750952388097,-0.313114770609901,-0.3131147706099205
ITW,-0.23683743114476377,-0.23683743114476383,-0.15873716542261268,-0.15873716542261213,0.02668275619522017,-0.026682756195218597,0.0061367246305413185,0.006136724630542576,0.16773569463538823,-0.1677356946353962,-0.11566660248206402,0.11566660248206519,0.4711388731958782,-0.47113887319588077,-0.023340089689782805,-0.023340089689784457,0.38982500807114967,-0.38982500807113735,0.04434809950540655,0.044348099505374966
LMT,-0.23463143238220363,-0.23463143238220333,0.5016335606995694,0.5016335606995679,0.15037371955845144,-0.15037371955844656,-0.12893802260896078,-0.1289380226089663,0.16546435595846096,-0.16546435595844602,-0.040679992382541004,0.04067999238254179,0.14778151124698524,-0.1477815112469881,-0.029545845661806715,-0.029545845661810666,-0.24443683773503175,0.24443683773503275,0.2063481958554265,0.2063481958554212
RTX,-0.1950545015553202,-0.19505450155532078,-0.17914428831869667,-0.17914428831869583,0.4785158066735996,-0.4785158066735967,-0.06661444949022283,-0.06661444949022513,-0.21920480709579665,0.21920480709578433,0.19853628867167994,-0.1985362886716811,0.10837653887485689,-0.10837653887485701,-0.26405897114758853,-0.26405897114758287,0.03248798330826935,-0.03248798330826179,-0.1626367560348488,-0.1626367560348727
MMM,-0.15122713085189507,-0.15122713085189468,0.30236292423137484,0.30236292423137495,0.04099130631700364,-0.040991306317003755,0.25636282474555383,0.2563628247455604,-0.0655843323136722,0.06558433231366402,-0.338184242782949,0.33818424278294923,-0.09048185463188983,0.09048185463189408,0.28270906024844816,0.2827090602484515,0.15715492839837672,-0.15715492839836065,-0.29466234038922895,-0.29466234038926686
FDX,-0.14718376525481702,-0.1471837652548172,-0.22701732545576053,-0.22701732545576087,0.13744787058982538,-0.1374478705898268,0.4257294128006301,0.42572941280063104,-0.07369106708653751,0.07369106708654603,-0.14313264913859855,0.14313264913859947,-0.0612688972010362,0.061268897201036863,0.4097000351093949,0.40970003510939446,0.16417242272758,-0.1641724227275742,0.04674091997577712,0.04674091997577174
BA,-0.25021301426629783,-0.2502130142662978,0.14512079834321834,0.14512079834321778,0.16973245928974093,-0.16973245928973685,-0.14172415945884032,-0.14172415945883945,0.05430390887467736,-0.05430390887469117,-0.40454085236553594,0.40454085236553605,-0.09999635004137664,0.09999635004137467,-0.31022901706017897,-0.3102290170601803,-0.155877310210504,0.15587731021050194,-0.26513636421898035,-0.2651363642189607
ADBE,-0.4078119661962453,-0.4078119661962454,-0.08763011248226303,-0.08763011248226343,0.23022199657279296,-0.23022199657279074,-0.0881380856160774,-0.08813808561608524,0.03698125909881518,-0.0369812590987928,0.05756592684308231,-0.057565926843081774,-0.28821847844923054,0.2882184784492308,0.3088764775116368,0.3088764775116326,-0.2039098012465857,0.20390980124658908,0.2012576646729894,0.2012576646729843
INTC,-0.2445823345611877,-0.2445823345611878,-0.07205973902546374,-0.07205973902546388,0.2043777070290009,-0.20437770702900165,-0.0893830944762286,-0.08938309447622371,-0.24669348138841246,0.24669348138839056,-0.21485672107505674,0.21485672107505807,0.22423430783554907,-0.2242343078355489,0.14447710525076043,0.14447710525075508,-0.29346503740552304,0.29346503740551394,0.3477496508141997,0.3477496508142055
