Ticker,CHTR,CHTR,CHTR,CHTR,CHTR,T,T,T,T,T,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,TMUS,TMUS,TMUS,TMUS,TMUS,CMCSA,CMCSA,CMCSA,CMCSA,CMCSA,GOOG,GOOG,GOOG,GOOG,GOOG,VZ,VZ,VZ,VZ,VZ,DIS,DIS,DIS,DIS,DIS,FOXA,FOXA,FOXA,FOXA,FOXA
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-26,321.44000244140625,324.739990234375,305.3699951171875,306.20001220703125,2062900,13.049701642568234,13.107116799154515,12.779029072628846,12.852849006652832,46841200,22.559999465942383,23.270000457763672,22.301000595092773,22.406999588012695,82343000,139.14801356499476,141.25331789581207,135.2452823830347,135.4240264892578,30497000,126.49267524015457,128.00221028327144,125.97348098170043,127.2234115600586,5177500,26.4179660575073,26.576506166764855,25.475061752997718,25.77545738220215,36436983,97.87590902187726,99.69228760029272,97.64761790030114,98.07441711425781,22437900,30.98675943968773,31.105241755574365,30.512836202402113,30.749797821044922,21345700,96.6734011302575,98.34406479962159,95.80387843541425,95.86250305175781,9760500,30.117011974189747,30.661986184802622,29.667647690121232,29.75369644165039,2255900.0
2022-09-27,312.1300048828125,315.82000732421875,305.30999755859375,306.8900146484375,1789700,12.967680746867515,13.148129396540881,12.852849645762122,12.90206241607666,41183400,22.863000869750977,23.06399917602539,22.07200050354004,22.43600082397461,77622000,136.96325277251074,138.4528473337513,133.18961018678016,133.46766662597656,30826500,127.22338413386721,128.82905830852167,126.65609825227041,127.56950378417969,4239600,26.100885389442524,26.2093598487181,25.032818594087168,25.24976921081543,36665641,99.16624566827849,99.71214677098449,96.61537019694262,97.35978698730469,24225000,30.96305695107094,31.3579938942909,30.6313083519387,30.71819496154785,20357700,97.24004646702082,97.34751622079531,93.23437936134434,93.64471435546875,13360200,30.04052410017496,30.4707678535599,29.40089553977139,29.59115982055664,1958800.0
2022-09-28,311.7799987792969,324.7099914550781,309.20001220703125,321.0799865722656,1981800,12.94307296786078,13.057904063539816,12.885657811132685,12.984084129333496,42670800,22.9689998626709,24.665000915527344,22.738000869750977,24.520000457763672,175797000,133.68616806769387,141.0447702879112,133.33860502663492,140.627685546875,32658500,129.28094078133603,131.44427636242824,128.1463838254129,130.30010986328125,5573300,25.59187955571066,26.192667342843375,25.36658413553589,26.000749588012695,28175949,97.29030618867614,100.64514929447122,97.07195029609333,99.99005889892578,24617000,30.852475656316564,31.20791650124578,30.8129795507646,31.11313247680664,20567400,93.58611633073157,97.572247684122,93.25393499101827,97.1130599975586,12895500,29.70588854207386,30.21644394672303,29.447742305079444,30.05964469909668,1835600.0
2022-09-29,319.17999267578125,320.489990234375,310.44000244140625,312.5899963378906,1520200,12.852848170136076,12.918465711170548,12.639590770662647,12.738017082214355,51308300,24.160999298095703,24.697999954223633,23.56800079345703,23.97100067138672,189949000,138.3933094958583,138.86997566252782,134.2621623102042,135.46377563476562,38985400,130.13665373661814,130.1558728221996,127.83871129867298,129.45399475097656,5602900,25.750425071305347,25.750425071305347,25.032817898844375,25.391620635986328,30373756,98.56078607297609,98.56078607297609,95.80147480905075,97.35978698730469,21921500,30.891970787090983,30.963059563393458,30.370654098582854,30.520729064941406,17806900,96.26305452208483,96.33144368805333,94.01597660179134,95.20790100097656,9435100,29.71545111252819,29.82062221186133,28.97925706441146,29.17047691345215,4067000.0
2022-09-30,315.25,315.79998779296875,302.94000244140625,303.3500061035156,2251900,12.738018645699825,12.861052136907887,12.58217716217041,12.58217716217041,63932700,23.700000762939453,24.243999481201172,23.326000213623047,23.54400062561035,118486000,135.1062437159562,140.0119780697595,134.56005595639368,134.73880004882812,33166400,129.75209158680522,130.95394500030113,128.80984261852186,129.00213623046875,6201000,25.57519182293644,25.57519182293644,24.43202834953972,24.4737491607666,33524713,97.00245897492968,98.75332693598226,95.31510996607796,95.43421936035156,26277800,30.44174791472246,30.639216435684908,29.97572208472586,29.991519927978516,23523600,94.27976248343784,95.2372182733308,92.11083825752247,92.1596908569336,12094900,29.37125641057601,29.983158839526602,29.208720084330835,29.3330135345459,3276000.0
2022-10-03,307.989990234375,321.1499938964844,304.1700134277344,320.2699890136719,2115300,12.902062603267034,13.27116229709559,12.844647442992766,13.041500091552734,59540500,23.78499984741211,24.15399932861328,23.28499984741211,23.90399932861328,86574000,136.18866414251312,138.651456228818,135.1558852524302,137.64846801757812,27723100,131.01161329041975,134.49219026535096,130.87700631378,133.5499267578125,5543900,24.89930561058633,25.675323178284284,24.690698171490304,25.558502197265625,36646755,96.49626572648086,99.22579388340206,96.2977500442363,98.56078338623047,24840000,30.4101503142693,31.09733988029188,30.32326368841339,30.931467056274414,21495300,93.52748787304205,95.53031786658123,92.32578391383002,94.89527130126953,9468400,29.705889773432016,29.930572821271106,29.23262347626546,29.887548446655273,2627700.0
2022-10-04,323.510009765625,330.6000061035156,321.0,328.5400085449219,2318200,13.115317698170344,13.24655277387428,13.033296166966762,13.19734001159668,46876200,24.483999252319336,24.579999923706055,23.325000762939453,24.073999404907227,139259000,139.5154652386649,141.40227940375894,138.37343337836646,139.30691528320312,34670700,134.40566611062962,137.1939748663474,134.18452918776555,137.04974365234375,5648600,25.667943602729018,26.181471643976256,25.592177254673484,26.0888671875,30071688,100.28783233105867,101.95532626806342,100.28783233105867,101.64763641357422,22580900,31.20002322739476,31.476477924157564,31.00255472595555,31.44488525390625,25922500,96.40960855763565,99.18426334476978,95.96996496726281,99.10610961914062,10229000,30.030962386398134,30.967935628504385,30.002278862151265,30.814960479736328,2379800.0
2022-10-05,324.4200134277344,332.0199890136719,319.6300048828125,329.2799987792969,1838700,13.098914613793017,13.238351304737328,12.926668369423213,13.066105842590332,38250100,23.875999450683594,24.159000396728516,22.738000869750977,23.67300033569336,108256000,137.28105787017572,139.23739352437994,133.84505263982953,138.0159149169922,27979300,134.8960349790751,136.42478905567742,132.68462168347136,135.7902069091797,4454600,25.701618558370157,26.021522085964843,25.373299402414585,25.878408432006836,23828991,99.94043639262158,101.97517104498277,98.99750392900135,101.45904541015625,18475500,31.073644909678,31.294808677071682,30.702403146012593,31.12103843688965,17797900,97.73831866448818,98.89116997192517,96.42914499827855,98.4808349609375,7562800,30.317790773626207,30.590279698899735,29.954475245940912,30.155256271362305,2731600.0
2022-10-06,327.3699951171875,330.4800109863281,321.239990234375,323.95001220703125,1311100,13.05608749526423,13.198001550352018,12.780607458003473,12.788954734802246,52923900,23.667999267578125,24.42799949645996,23.391000747680664,24.00200080871582,91889000,136.76467468711368,140.46879643950675,135.6524486742208,138.10531616210938,36231100,134.99217576961058,136.41518084007137,133.50188920490137,134.0499267578125,4533500,25.785803954786164,25.86157030918697,25.247022132344448,25.29753303527832,34686783,100.74440039069306,102.95780286422516,100.74440039069306,101.47888946533203,17156200,31.701739192517568,31.85434336592979,30.33632294861031,30.392545700073242,36663300,98.1193534911483,99.12565453679386,97.57224009635716,97.73832702636719,6728200,30.661984044711158,30.661984044711158,29.672425294801023,29.801498413085938,3697200.0
2022-10-07,321.260009765625,323.45001220703125,311.3599853515625,312.5299987792969,1117000,12.713825484206208,12.722173558311738,12.438345407653028,12.471736907958984,53446900,23.57699966430664,23.732999801635742,22.42799949645996,22.475000381469727,98061000,135.8112977576115,137.33068301741045,131.5212732455144,132.52426147460938,33214800,133.56916365832478,133.9249075325818,131.76157164003635,132.29039001464844,4945800,25.15441818121243,25.23860187323268,24.58196016642234,24.64089012145996,30783590,99.90074321396166,100.66500785130309,98.4714604325857,98.82878112792969,24249900,30.223879991096283,30.280102747294215,29.565267935140152,29.597393035888672,31838700,96.2435216602934,96.52685034560255,94.23091228428011,94.9245834350586,7051000,29.543353553019276,30.06920722500772,29.40950075312764,29.992719650268555,2588400.0
2022-10-10,314.4599914550781,320.6099853515625,311.8399963378906,318.29998779296875,1216900,12.52182506130718,12.630347640705786,12.321476051394152,12.438345909118652,43852600,22.56399917602539,23.382999420166016,22.42300033569336,22.99799919128418,99911000,132.62358250842252,135.1658216673534,130.9552285897862,132.86190795898438,24024000,132.290380822517,133.51146777158186,131.83848284934479,132.42498779296875,3785800,24.868190211577502,25.044978370788503,24.43884753920794,24.52303123474121,25163168,99.10668686215816,99.24564405677822,97.14143078247496,97.97517395019531,16529900,29.82228510326761,29.974889279188588,29.211862271763287,29.41265869140625,21622200,95.34468841060942,95.4912387670263,92.247624172244,92.9706039428711,9532300,30.164814745292006,30.403838639703537,29.70588930568769,29.772815704345703,1762000.0
2022-10-11,318.17999267578125,320.510009765625,307.4200134277344,308.44000244140625,1293200,12.396606947635437,12.446693801322247,12.254692868662497,12.363215446472168,49661500,22.604999542236328,23.04400062561035,21.3700008392334,21.429000854492188,152824000,130.7069435735247,131.73973755042812,126.10906473901129,127.64830780029297,38481400,132.655778256062,133.25189287560096,131.57892225404,131.8673553466797,4564800,24.35466223167428,24.539869446520537,24.10210771746546,24.144201278686523,37072702,97.51859171730234,99.37467349189947,96.52603607641377,97.32008361816406,21617700,29.364466689267868,29.468878611431442,28.858458902507007,28.86648941040039,27708900,92.62864869271776,92.87289679702626,90.5183489474999,90.95799255371094,8900900,29.610281871149216,29.763257030537435,29.07486881329045,29.323453903198242,2361200.0
2022-10-12,307.30999755859375,310.5299987792969,302.7699890136719,306.30999755859375,1146000,12.321476147752172,12.471737508303937,12.204605492997507,12.212953567504883,46719600,21.43000030517578,22.367000579833984,21.263999938964844,22.086999893188477,129526000,127.4298738864634,128.77050008091746,125.37422584084904,126.61555480957031,34605200,131.30008973793952,131.49238336507028,127.67529544871769,127.81952667236328,6461300,24.186294824236303,24.691403888106958,24.009506651881573,24.152620315551758,31779528,97.53845426996752,98.90620208716895,96.94292230976326,97.5682373046875,17343400,28.834367082398757,29.075322173155723,28.593408927731577,28.657665252685547,23336800,91.01661615621748,91.90567537001586,90.0786968866954,91.2608642578125,6156200,29.342575600186418,29.51945278236126,28.960137710237692,29.151355743408203,2521500.0
2022-10-13,299.20001220703125,326.760009765625,297.6600036621094,325.94000244140625,1999700,12.096082071289823,12.647042212590058,12.071038645626034,12.62199878692627,60354500,21.268999099731445,23.44700050354004,21.17300033569336,23.250999450683594,175050000,122.67308358829318,130.2302943889548,121.68002048782748,129.3861846923828,34325700,125.77157702670969,128.934864014318,124.56011384249273,127.95414733886719,6342000,24.13578266425654,25.68478257081976,23.900064542266737,25.449066162109375,37521909,95.21587567742034,99.78163072208707,94.56078523190662,98.96773529052734,32812200,28.20788025182987,29.388564183058342,28.14362699059912,29.235960006713867,33118100,89.46319826394468,94.73895897973962,88.62298416142848,94.41654968261719,11025400,28.8167208996287,30.41340063006855,28.711551623319913,30.308231353759766,4073100.0
2022-10-14,328.95001220703125,331.95001220703125,321.75,323.30999755859375,1743900,12.680433871819197,12.747217667956978,12.496781019817808,12.513476371765137,47185600,23.780000686645508,23.8799991607666,22.951000213623047,23.0,152934000,130.09126942927062,130.87578263105397,125.64234329376768,125.88068389892578,23559400,129.90593557166434,130.25206995019167,126.37729562251606,126.45421600341797,5650100,25.69320120383386,25.962592115054715,25.263858528895945,25.29753303527832,29430528,99.87591213383833,100.53596254882596,96.30767336573908,96.45655822753906,22624800,29.557230906934404,29.645581817463512,29.18776624827636,29.219894409179688,26019000,95.2274530668478,95.83318360120946,92.15969744190825,92.27693176269531,8202100,30.461206856150184,30.77671651232755,30.011840750305563,30.16481590270996,2151700.0
2022-10-17,328.2799987792969,335.8599853515625,324.82000732421875,331.69000244140625,1498900,12.638696000281284,12.855740367858894,12.588608348614933,12.780610084533691,44240700,23.44099998474121,24.992000579833984,23.440000534057617,24.510000228881836,210578000,129.39613707206735,133.85498111053334,129.27695918491287,133.1101837158203,29612200,128.09833991897742,130.42512636339657,128.09833991897742,128.68484497070312,5775300,25.651106764610756,26.063611288047706,25.59217681271438,25.94575309753418,31059303,98.77913243130956,101.01238258672876,98.76921232733415,100.02975463867188,23311600,29.4929830127965,29.958829174975836,29.38856800282623,29.86244773864746,21962900,94.1625205148136,95.7159422356553,94.04528620265506,95.09066772460938,7083800,28.434283241070816,28.76891706951011,27.028823349954962,27.325212478637695,12668500.0
